;;'***' 표시된 항목은 필수값입니다.
[PROJECT:START]
가곡(4423010022)-20230220
[PROJECT:END]
[SET_WATER_MANAGE:START]
;;물관리기간 설정,,,(㎜),(㎜)
;;순번,시작날짜,종료날짜,관리수심,배수조절
1,05/01/2020,09/10/2020,60,0
[SET_WATER_MANAGE:END]
[WATER_INSUPPLY:START]
;;순번,수원객체ID,객체유형,초기수심(m),증발계수,공급순번,공급객체ID,운영조건,시작시간,종료시간,비고,설명
1,IR_4423010022_TANK,1,7,0.72,1,IP_4423010022_PUMP,1,4,18,가곡,
2,IT_4423020034_TANK,1,2,0,1,IP_4423020034_PUMP,1,4,18,율리,
[WATER_INSUPPLY:END]
[WATER_INSUPPLY_DETAIL:START]
;;,,,,전체시스템,가곡,,율리,
;;$$,,,,수면증발량,IR_4423010022_TANK,IP_4423010022_PUMP,IT_4423020034_TANK,IP_4423020034_PUMP
;;순번,년,월,일,(㎜),유입량(천톤),공급량(천톤),유입량(천톤),공급량(천톤)
94,2020,08,02,0,5.89813995361328,1
95,2020,08,03,0,4.83181381225586,1
96,2020,08,04,0,8.30348491668701,1
97,2020,08,05,0.5,4.78198051452637,1
98,2020,08,06,12.9,4.00157117843628,1
99,2020,08,07,97.2,3.4466278553009,1
100,2020,08,08,186.3,3.30349564552307,1
101,2020,08,09,0.9,8.118971824646,1
102,2020,08,10,74.4,3.54605722427368,1
103,2020,08,11,0.9,5.22117519378662,1
104,2020,08,12,0.8,4.29151821136475,1
105,2020,08,13,0,8.35520076751709,1
106,2020,08,14,0,8.43062686920166,1
107,2020,08,15,0,10.0867729187012,1
108,2020,08,16,0,9.86071586608887,1
109,2020,08,17,0,8.62648963928223,1
110,2020,08,18,0,8.92153263092041,1
111,2020,08,19,0,8.28912448883057,1
112,2020,08,20,0,9.06413745880127,1
113,2020,08,21,0,6.90378427505493,1
114,2020,08,22,0,5.15325117111206,1
115,2020,08,23,1.6,6.54229497909546,1
116,2020,08,24,0,7.26535892486572,1
117,2020,08,25,2.4,6.45480871200562,1
118,2020,08,26,20.8,5.56637144088745,1
119,2020,08,27,60.4,4.23081922531128,1
120,2020,08,28,3.9,4.07628059387207,1
121,2020,08,29,2.7,4.27384519577026,1
122,2020,08,30,0,5.77053928375244,1
123,2020,08,31,0.5,3.36923408508301,1
124,2020,09,01,0,3.50751709938049,1
125,2020,09,02,68.4,2.68551349639893,1
126,2020,09,03,53.3,8.10473442077637,1
127,2020,09,04,0,5.67928695678711,1
128,2020,09,05,2.3,2.38411808013916,1
129,2020,09,06,5.5,2.58841443061829,1
130,2020,09,07,43,3.97309446334839,1
131,2020,09,08,1.6,5.33162498474121,1
132,2020,09,09,3.2,3.96794629096985,1
133,2020,09,10,0.9,4.41170406341553,1
[RAIN_CONUSE:END]
[BENEFITAREA:START]
;;포장을 설정한다.
;;포장개수,16
;;순번,포장ID,급수물꼬ID,배수물꼬ID,면적(㎡),침투량(㎜/일),초기수심(m),RNCU코드
1,IF_P0117_PADDY,IG_117_P,DG_117_P,78341.46,5.3,0,1
2,IF_P0118_PADDY,IG_118_P,DG_118_P,68638.50,5.3,0,1
3,IF_P0119_PADDY,IG_119_P,DG_119_P,47830.76,5.3,0,1
4,IF_P0120_PADDY,IG_120_P,DG_120_P,149522.03,5.3,0,1
5,IF_P0121_PADDY,IG_121_P,DG_121_P,187989.85,5.3,0,1
6,IF_P0122_PADDY,IG_122_P,DG_122_P,158138.70,5.3,0,1
7,IF_P0123_PADDY,IG_123_P,DG_123_P,112429.15,5.3,0,1
8,IF_P0124_PADDY,IG_124_P,DG_124_P,47257.72,5.3,0,1
